"Table S3:Summary statistics for the analysis of trait divergence and nodal trait values (± SD) for each node of the Glomeromycota phylogeny. Each row represents either the average across host species or each individual host. The top row indicates AM fungal genera and species affiliations and the corresponding abbreviated genus and species affiliations of isolates (See Fig. 1 and Table S1). The second row lists the node numbers from the phylogeny in Fig. 1, and are associated with the contribution index (CI) for each node. The CI values are shown as percentages, so that the sum of all CI values of all nodes always add to 100%. Note that the second last column represents the root node of the Glomeromycota (node 31). Trait values for the species nodes of the phylogeny (“extant AM fungi”) are highlighted in grey and nodes above the AM fungal species level are not highlighted. The CI for each trait and node is shown in the first line in each row. Nodes that contributed greater than expected variability (a high CI) are indicated by the letter D (“Divergence”), followed by the level of significance. Nodes that contributed less than expected variability (a low CI) are marked by the letter s (“stasis”), followed by the level of significance. The last column shows the summed percent contribution index (sum.CIr) of all species level nodes (those highlighted in grey) for each trait to investigate how much of trait variability was explained at the species level (i.e., among isolates within species). Summed CI values >50% indicate that a majority of variation is accounted for by divergences within species, whereas summed CI values <50% indicate that a majority of variation is accounted for by divergences above the species level (i.e., at the family and sub-family levels). The second line on each row is the mean trait value for a node ± SD, calculated as the average of isolates descended from that node. For each trait and host species, the analyses were based on the overall least-square values of each isolate and plant species (Achillea millefolium, Bromus inermis and Medicago sativa, abbreviated as A. mill, B. iner and M. sati, respectively). The overall effect across host species was assessed by the mean across hosts least-square values for each isolate (“Overall”). Traits analyzed were total plant dry weight (DW), root to shoot ratio (R / S), total arbuscular, vesicular and root hyphal volumes (Arb. V, Ves. V and Root HV, respectively), total extraradical hyphal volume (EHV), number of AM fungal spores per gram dried substrate (Spore #), total AM fungal spore volume (Spore V), root fungal volume (Root FV, i.e., the sum of Arb. V, Ves. V and RH V), total soil fungal volume (Soil FV, i.e., the sum of EHV and Spore V), total fungal volume (FV, i.e., the sum of Root FV and Soil FV), the percentage of Root FV from the FV (% RVF) and the percentage of Spore V from the Soil FV (% SV). For consistency with Fig. 1 all plant DW values are given in grams, R / S ratios are dimensionless (i.e., total root dry weight [g] / total shoot dry weight [g]) and all fungal volume traits are given in cubic millimeters per container.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,M. sati,%CI,1.86,0.32,0.00 s*,0.91,0.68,0.32,0.00 s*,0.2,0.66,0.78,0.35,5.45,3.42,0.41,47.48 D**,1.49,0.19,0.1,1.95 s+,0.06,0.11,0.38,0.00 s*,0.03,25.24 D**,1.04,4.78,0.37,0.05,0.3,1.08,13.98,
,,mean ± SD,54.33 ± 8.98,54.41 ± 5.25,54.37 ± 0.06,57.73 ± 8.88,51.05 ± 10.83,54.59 ± 4.73,54.47 ± 0.16,86.75 ± 4.21,76.26 ± 10.66,81.81 ± 7.44,105.2 ± 7.7,94.24 ± 16.55,99.33 ± 24.33,97.02 ± 3.61,75.84 ± 30.08,53.29 ± 11.34,56.97 ± 5.73,55.02 ± 2.6,53.26 ± 5.81,53.95 ± 1.27,54.93 ± 3.02,54.84 ± 4.04,54.88 ± 0.06,54.42 ± 0.66,64.88 ± 15.15,57.69 ± 7.73,60.51 ± 5.2,54.19 ± 4.64,60.23 ± 3.06,56.94 ± 4.29,58.68 ± 2.53,,
Spore #,Overall,%CI,0.01 s**,0.00 s**,0.00 s+,0.00 s*,0.00 s+,0.01,0.00 s+,0.00 s**,0.00 s+,0.00 s**,0.00 s+,0.11,0.00 s*,0.04,0.19,0.19,0.05,0.11,1.5 s*,0,0.2,0.75,0.27,0.03,12.23 D**,0.38,70.72 D**,0.03 s*,0.00 s*,0.00 s*,13.18 D**,3.11,
,,mean ± SD,22.45 ± 2.22,24.17 ± 0.43,23.27 ± 1.22,20.22 ± 1.76,23.75 ± 1.13,21.88 ± 2.5,22.59 ± 0.98,3.556 ± 0.69,3.444 ± 0.877,3.503 ± 0.079,16.8 ± 0.62,10.58 ± 9.42,16.33 ± 0.24,13.71 ± 4.08,18.13 ± 6.28,83.36 ± 16.91,67.02 ± 12.08,75.67 ± 11.57,73.94 ± 21.16,74.61 ± 1.26,59.99 ± 17.2,80.11 ± 23.61,70.58 ± 14.24,72.58 ± 2.85,46 ± 38.51,156.6 ± 19.3,113.2 ± 80,13.53 ± 5.15,13.09 ± 0.32,13.33 ± 0.31,62.12 ± 70.6,,
,A. mill,%CI,0.01 s**,0.00 s**,0.02,0.01 s+,0,0,0.00 s+,0.00 s***,0,0.00 s*,0.00 s+,0.07,0,0.02,0.26,0.12,0.52,0.18,3.08,0.35,0.05,1.26,0.18,0.22,13.07 D**,0.8,66.34 D**,0.17,0.01,0,13.21 D**,6.06,
,,mean ± SD,19.97 ± 3.25,25.2 ± 1.62,22.45 ± 3.71,20.32 ± 3.79,23.22 ± 3.73,21.69 ± 2.05,22.08 ± 0.54,3.287 ± 0.597,3.792 ± 1.787,3.525 ± 0.357,13.92 ± 1.41,9.054 ± 7.364,13.68 ± 1.67,11.58 ± 3.29,16.8 ± 7.42,67.97 ± 13.38,47.17 ± 38.97,58.18 ± 14.74,75.33 ± 29.85,68.64 ± 12.41,70.26 ± 8.56,86.58 ± 30.21,78.85 ± 11.56,73.8 ± 7.22,45.98 ± 40.31,150.7 ± 27.8,109.6 ± 75.8,17.69 ± 12.95,15.08 ± 3.85,16.5 ± 1.85,62.01 ± 65.85,,
,B. iner,%CI,0.04 s*,0.00 s*,0.00 s+,0.01 s+,0.00 s*,0.00 s+,0,0.00 s**,0.00 s+,0.00 s*,0,0.12,0,0.13,0.09,0.31,0.62,0.82,2.4,0.17,0.48,0.35,0.00 s+,0.07,7.94 D**,1.72,71.96 D**,0.01 s**,0,0.00 s+,12.75 D**,5.94,
,,mean ± SD,24.19 ± 5.21,22.88 ± 1.99,23.57 ± 0.93,21.23 ± 3.49,22.81 ± 0.43,21.97 ± 1.12,22.79 ± 1.13,4 ± 1.268,3.736 ± 1.08,3.876 ± 0.187,17.38 ± 1.47,11.06 ± 9.57,21.4 ± 3.05,16.7 ± 7.34,19.73 ± 4.31,92.8 ± 20.81,49.42 ± 41.76,72.38 ± 30.73,60.77 ± 26.04,65.3 ± 8.41,60.17 ± 25.97,59.13 ± 15.66,59.62 ± 0.73,62.43 ± 4.01,41.59 ± 30.2,149.2 ± 40.2,106.9 ± 77.8,12.29 ± 2.37,10.43 ± 2.34,11.45 ± 1.32,58.12 ± 67.54,,
,M. sati,%CI,0.00 s***,0.00 s*,0.00 s+,0.00 s*,0.00 s**,0.01,0.00 s+,0.00 s**,0.00 s+,0.00 s*,0.00 s+,0.12,0.00 s*,0.00 s+,0.19,1.02,0.53,0.07,3.07,0.11,0.17,0.95,1.05,0.43,13.36 D**,0.76,63.56 D**,0.01 s**,0.01,0.00 s+,14.55 D**,6.52,
,,mean ± SD,23.2 ± 1.64,24.43 ± 2.78,23.78 ± 0.87,19.11 ± 2.68,25.22 ± 0.08,21.99 ± 4.33,22.9 ± 1.27,3.38 ± 0.806,2.806 ± 1.925,3.109 ± 0.407,19.1 ± 1.04,11.62 ± 11.33,13.9 ± 0.65,12.86 ± 1.62,17.86 ± 7.1,89.3 ± 43.82,104.5 ± 44.5,96.44 ± 10.76,85.72 ± 34.02,89.9 ± 7.77,49.56 ± 18.04,94.62 ± 29.91,73.27 ± 31.91,81.5 ± 11.76,50.44 ± 45.01,169.8 ± 30.9,122.9 ± 86.3,10.61 ± 3.45,13.75 ± 7.15,12.04 ± 2.23,66.23 ± 78.42,,
Spore V,Overall,%CI,0.00 s***,0.00 s***,0.06,0.00 s**,0.00 s*,0,0,0.03,0,0.25,0.00 s+,0,0.00 s*,0.02,0.44,0.85,1.2,9.93 D+,0.08 s***,59.41 D**,0.04,0.28,0.35,8.77 D+,12.46 D*,0.00 s**,4.73,0.14,0.00 s***,0.45,0.5,2.62,
,,mean ± SD,1.143 ± 0.113,4.957 ± 0.088,2.95 ± 2.701,4.221 ± 0.367,3.216 ± 0.153,3.748 ± 0.712,3.34 ± 0.564,13.86 ± 2.69,3.547 ± 0.904,9.004 ± 7.301,7.954 ± 0.291,8.445 ± 0.744,10.49 ± 0.16,9.559 ± 1.45,6.463 ± 4.397,72.81 ± 14.77,137.2 ± 24.7,103.1 ± 45.6,7.074 ± 2.025,44.53 ± 69.53,10.75 ± 3.08,20.26 ± 5.97,15.76 ± 6.73,30 ± 20.35,18.51 ± 16.65,6.742 ± 0.833,11.36 ± 8.51,13 ± 4.95,0.298 ± 0.007,7.227 ± 9.02,9.248 ± 2.924,,
,A. mill,%CI,0.00 s***,0.00 s**,0.1,0.00 s*,0,0,0.01,0.03,0.01,0.28,0,0.02,0,0.01,0.43,0.8,18.61 D+,4.95,0.24 s**,47.98 D**,0.01,0.68,0.49,4.7,13.41 D*,0.01 s*,4.67,1.36,0.00 s**,1.15,0.03,21.75,
,,mean ± SD,1.016 ± 0.165,5.169 ± 0.333,2.984 ± 2.941,4.242 ± 0.79,3.144 ± 0.505,3.725 ± 0.777,3.346 ± 0.525,12.81 ± 2.33,3.905 ± 1.841,8.619 ± 6.307,6.59 ± 0.67,7.539 ± 1.437,8.787 ± 1.072,8.219 ± 0.886,5.794 ± 3.446,59.38 ± 11.69,96.54 ± 79.76,76.87 ± 26.33,7.207 ± 2.856,34.38 ± 50.43,12.59 ± 1.53,21.9 ± 7.64,17.49 ± 6.59,25.85 ± 11.95,16.06 ± 14.18,6.491 ± 1.198,10.25 ± 6.92,17 ± 12.44,0.343 ± 0.088,9.427 ± 11.83,9.828 ± 0.58,,
,B. iner,%CI,0.00 s***,0.00 s*,0.05,0.00 s*,0.00 s*,0,0.01,0.11,0,0.38,0,0.01,0.01,0.11,0.83,1.5,16.57 D+,1.12,0.14 s***,56.25 D**,0.1,0.14,0.08,8.43 D+,8.81 D+,0.02 s+,4.31,0.04,0.00 s*,0.43,0.53,18.63,
,,mean ± SD,1.231 ± 0.265,4.693 ± 0.409,2.871 ± 2.451,4.431 ± 0.728,3.088 ± 0.058,3.799 ± 0.951,3.325 ± 0.656,15.59 ± 4.94,3.848 ± 1.113,10.06 ± 8.32,8.228 ± 0.698,9.086 ± 1.3,13.75 ± 1.96,11.63 ± 3.31,7.494 ± 5.871,81.06 ± 18.18,101.1 ± 85.5,90.51 ± 14.23,5.814 ± 2.492,38.85 ± 61.32,10.78 ± 4.65,14.96 ± 3.96,12.98 ± 2.96,25.78 ± 18.3,16.86 ± 12.94,6.424 ± 1.73,10.52 ± 7.54,11.81 ± 2.28,0.237 ± 0.053,6.551 ± 8.218,8.491 ± 2.807,,
,M. sati,%CI,0.00 s***,0.00 s*,0.02,0.00 s*,0.00 s**,0,0.00 s+,0.02,0,0.11,0,0,0,0.00 s*,0.15,2.43,6.88,18.76 D*,0.09 s*,48.22 D**,0.02,0.19,0.37,8.58 D+,9.89 D+,0.00 s*,3.4,0.03,0.00 s*,0.12,0.72,9.66,
,,mean ± SD,1.181 ± 0.083,5.01 ± 0.571,2.995 ± 2.711,3.989 ± 0.56,3.415 ± 0.011,3.719 ± 0.406,3.349 ± 0.512,13.17 ± 3.14,2.889 ± 1.982,8.332 ± 7.282,9.044 ± 0.493,8.711 ± 0.504,8.929 ± 0.416,8.83 ± 0.155,6.101 ± 3.876,78 ± 38.28,213.9 ± 91.1,141.9 ± 96.2,8.201 ± 3.255,60.37 ± 96.83,8.879 ± 3.233,23.93 ± 7.57,16.8 ± 10.66,38.36 ± 30.81,22.61 ± 22.82,7.31 ± 1.331,13.32 ± 11.07,10.2 ± 3.32,0.313 ± 0.163,5.704 ± 7.018,9.426 ± 5.386,,
Root FV,Overall,%CI,0.1 s*,0.25,0.12,0.04,0.03,0,1.43,0.01 s*,0,0.00 s+,0.02,0.14,0.04,0.2,52.07 D**,0.07,0.21,0.27,3.41,0.78,0.28,0.13 s*,0.00 s**,0.02,24.77 D**,0.64,13.35,0.42,0.01,0.00 s*,1.17,5.66,
,,mean ± SD,43.45 ± 1.41,41.2 ± 3.18,42.38 ± 1.6,36.35 ± 1.27,36.92 ± 1.65,36.62 ± 0.4,39.56 ± 4.08,12.92 ± 0.75,12.61 ± 0.57,12.77 ± 0.22,10.32 ± 1.38,11.47 ± 1.74,14.58 ± 1.8,13.16 ± 2.21,26.31 ± 18.67,45.15 ± 1.71,40.91 ± 4.16,43.16 ± 3,38.98 ± 5.24,40.61 ± 3.02,40.16 ± 3.36,40.15 ± 1.61,40.16 ± 0.01,40.38 ± 0.32,33.51 ± 9.96,41.68 ± 4.14,38.47 ± 5.91,41.08 ± 3.38,40.81 ± 0.84,40.95 ± 0.19,39.74 ± 1.75,,
,A. mill,%CI,0.53 s+,0.4,0.45,0.14,0.15,0.36,1.23,0.07 s+,0.1,0.01,0.00 s+,0.3,0.01,0.15,44.57 D**,3.55,0.03,0.28,6.12,1.67,0.1,0.17 s*,0.05,0.05,16.03 D*,1.41,18.41,3.55,0.01,0.07,0.01 s*,16.34,
,,mean ± SD,52.84 ± 4.33,47.11 ± 5.33,50.13 ± 4.06,40.1 ± 3.19,46.52 ± 4.63,43.12 ± 4.55,46.7 ± 4.96,15.07 ± 2.16,13.83 ± 3.74,14.49 ± 0.88,9.78 ± 0.412,11.98 ± 3.34,15.61 ± 0.96,13.96 ± 2.57,30.26 ± 23.15,53.41 ± 15.87,47.69 ± 2.21,50.71 ± 4.05,42.58 ± 9.31,45.75 ± 5.89,45.59 ± 2.65,43.74 ± 2.44,44.62 ± 1.31,45.18 ± 0.8,37.89 ± 10.55,50.69 ± 8.15,45.67 ± 9.25,47.15 ± 12.96,44.48 ± 1.3,45.94 ± 1.9,45.8 ± 0.19,,
,B. iner,%CI,0.48 s+,0.63,0.01,0.12,0.02,0.28,1.6,0.00 s**,0.05,0.00 s+,0.02,0.14,0.39,0.42,42.56 D**,1.22,1.01,0.27,4.88,0.05,1.21,0.68,0.00 s*,0.04,28.22 D**,1.13,7.23,3.8,0.02,0.01 s+,3.5,15.66,
,,mean ± SD,58.64 ± 4.44,57.72 ± 7.2,58.2 ± 0.65,51.92 ± 3.09,45.8 ± 1.96,49.04 ± 4.34,53.72 ± 6.48,18.58 ± 0.51,19.09 ± 2.89,18.82 ± 0.36,15.23 ± 2,16.91 ± 2.54,22.85 ± 8.02,20.15 ± 4.22,36.86 ± 23.74,62.42 ± 10.02,56.35 ± 12.87,59.57 ± 4.3,58.01 ± 8.97,58.62 ± 1.12,57.71 ± 9.97,57.56 ± 5.31,57.63 ± 0.1,58.12 ± 0.7,47.74 ± 15.04,56.25 ± 7.87,52.91 ± 6.15,58.64 ± 14.45,59.52 ± 1.9,59.04 ± 0.63,56.04 ± 4.34,,
,M. sati,%CI,1.73,1.2,0.00 s*,1.3,0.14,0.13,0.21,0.14,0.04,0.00 s*,0.16,0.09,0.15,0.01 s+,49.82 D**,2.64,0.17,0.06,5.46,1.5,1.44,0.89,0.39,0.19,19.78 D**,2.01,9.15,0.25 s+,0.02,0.07,0.86,17.74,
,,mean ± SD,18.87 ± 2.85,18.76 ± 3.36,18.82 ± 0.07,17.05 ± 3.49,18.44 ± 1.64,17.7 ± 0.99,18.27 ± 0.79,5.092 ± 1.129,4.911 ± 0.848,5.007 ± 0.128,5.959 ± 1.731,5.513 ± 0.675,5.279 ± 1.667,5.386 ± 0.166,11.8 ± 9.11,19.62 ± 4.98,18.69 ± 1.81,19.19 ± 0.66,16.36 ± 3.21,17.46 ± 2.04,17.2 ± 3.69,19.15 ± 2.05,18.22 ± 1.38,17.85 ± 0.54,14.9 ± 4.28,18.12 ± 3.55,16.85 ± 2.33,17.44 ± 1.26,18.42 ± 0.67,17.89 ± 0.69,17.38 ± 0.73,,
Soil FV,Overall,%CI,0.23,0.04,0.00 s+,0.01 s*,0.04,0.04,0.02,0.08,0.01,0.5,0.00 s**,0.18,0.02,0.00 s+,5.71,1.24,0.97,9.78 D+,0.5 s**,58.33 D**,0.1,0.35,0.15,7.57 D+,5.22,0.07 s+,6.06,0.15,0,0.41,2.22,3.81,
,,mean ± SD,58.07 ± 5.38,58.68 ± 3.27,58.36 ± 0.43,62.14 ± 1.25,57.87 ± 4.66,60.13 ± 3.03,59.22 ± 1.25,90.85 ± 4.52,76.45 ± 2.12,84.07 ± 10.2,77.39 ± 0.08,80.52 ± 4.74,81.51 ± 3.22,81.06 ± 0.71,70.19 ± 15.44,126.6 ± 17.7,190.2 ± 22.1,156.5 ± 45.1,61.78 ± 5.04,98.73 ± 68.59,68.93 ± 4.97,75.19 ± 6.66,72.23 ± 4.44,85.34 ± 18.74,77.95 ± 10.72,64.61 ± 3.45,69.84 ± 9.65,66.74 ± 5,54.71 ± 1.2,61.27 ± 8.54,65.46 ± 6.06,,
,A. mill,%CI,0.08 s**,0.16,0.00 s*,0.55,0.01,0.1,0.03,0.16,0.01,0.09,0.04,1.57,0.04,0.07,2.46,0.75,15.58 D+,3.91,1.09 s*,46.15 D**,0.02 s*,1.47,0.04,3.64,12.25 D+,0.06 s*,3.67,1.69,0.02,1.77,2.53,21.73,
,,mean ± SD,58.36 ± 2.64,58.05 ± 5.17,58.22 ± 0.22,62.35 ± 9.52,57.26 ± 2.03,59.95 ± 3.6,59.07 ± 1.23,82.5 ± 5.12,77.56 ± 1.74,80.17 ± 3.5,63.85 ± 3.53,71.49 ± 11.57,68.7 ± 3.75,69.97 ± 1.98,64.54 ± 7.71,116.6 ± 11.2,149.1 ± 71.8,131.9 ± 23,64.81 ± 6.01,90.98 ± 48.59,75.11 ± 1.58,77.61 ± 11.01,76.43 ± 1.77,83.63 ± 10.29,74.31 ± 13.5,65.99 ± 2.64,69.25 ± 6.02,71.08 ± 13.66,50.76 ± 2.62,61.84 ± 14.43,65.46 ± 5.24,,
,B. iner,%CI,0.72,0.41,0.01,0.1,0,0.00 s*,0.05,0.38,0.15,0.88,0.04,3.65,0.76,0.00 s*,0.62,1.39,14.98 D+,1.01,1.27 s+,53.94 D**,0.34,0.34,0.01,6.54,6.34,0.17,3.51,0.08 s+,0.03,0.47,1.8,21.16,
,,mean ± SD,60.33 ± 8.79,58.57 ± 9.31,59.5 ± 1.25,62.35 ± 4.54,61.87 ± 1.14,62.13 ± 0.34,60.78 ± 1.86,90.13 ± 8.98,72.64 ± 8.02,81.9 ± 12.39,54.1 ± 3.92,67.11 ± 19.7,67.57 ± 18,67.36 ± 0.33,64.09 ± 4.65,131.8 ± 17.2,150.6 ± 80,140.7 ± 13.3,59.07 ± 7.38,90.9 ± 59.09,67.87 ± 8.55,69.2 ± 5.99,68.57 ± 0.94,79.62 ± 15.79,72.04 ± 10.99,62.84 ± 4.94,66.45 ± 6.65,64.74 ± 3.32,52.83 ± 3.87,59.33 ± 8.45,62.81 ± 5.04,,
,M. sati,%CI,0.24,0.04,0.02,0.11,0.09,0.05,0.00 s+,0.03,0.12,0.4,0.04,0.73,0.43,0.06,8.21,3.52,5.49,17.99 D*,0.26 s**,45 D**,0.06,0.24,0.33,7.5 D+,1.03,0.11,6.44,0.02 s*,0.01,0.02,1.43,10.81,
,,mean ± SD,55.51 ± 8.94,59.42 ± 4.88,57.36 ± 2.77,61.72 ± 8.37,54.47 ± 10.82,58.3 ± 5.14,57.82 ± 0.67,99.92 ± 4.1,79.15 ± 12.64,90.15 ± 14.72,114.2 ± 7.2,103 ± 17.1,108.3 ± 23.9,105.8 ± 3.8,81.94 ± 33.96,131.3 ± 48.3,270.8 ± 85.3,197 ± 98.8,61.47 ± 5.85,114.3 ± 98.1,63.81 ± 6.19,78.77 ± 8.85,71.68 ± 10.59,92.78 ± 30.15,87.49 ± 7.67,65 ± 6.81,73.83 ± 16.26,64.39 ± 3.3,60.54 ± 2.89,62.64 ± 2.73,68.11 ± 7.91,,
FV,Overall,%CI,0.29,0.02 s+,0.01,0.01 s+,0.02,0.03,0.09,0.07,0,0.49,0,0.32,0,0.06,0.21,1.35,0.59,7.93,0.89 s+,59.51 D**,0.24,0.37,0.14,7.3,17.44 D*,0.05 s+,0.86,0.29,0.01,0.39,1.01,4.2,
,,mean ± SD,101.5 ± 6.3,99.88 ± 2.28,100.7 ± 1.2,98.49 ± 1.89,94.78 ± 3.01,96.75 ± 2.63,98.79 ± 2.83,103.8 ± 4.4,89.06 ± 1.55,96.85 ± 10.42,87.71 ± 1.45,91.99 ± 6.47,96.09 ± 1.42,94.22 ± 2.91,96.49 ± 3.23,171.7 ± 19.2,231.1 ± 18,199.7 ± 42.1,100.8 ± 6.9,139.3 ± 71.6,109.1 ± 8.1,115.3 ± 7.1,112.4 ± 4.4,125.7 ± 19.1,111.5 ± 20.7,106.3 ± 3,108.3 ± 3.7,107.8 ± 7.3,95.52 ± 2.04,102.2 ± 8.7,105.2 ± 4.3,,
,A. mill,%CI,0.31 s+,0.11,0.15,0.45,0.01,0.00 s+,0.2,0.13,0.01,0.1,0.03,1.85,0.05,0.00 s+,4.93,0.11,11.76,1.89,1.63 s*,41.62 D**,0.07 s+,1.13,0.00 s+,3.01,25.62 D*,0.33,0.75,0.5,0.03,1.62,1.57,16.66,
,,mean ± SD,111.2 ± 6,105.2 ± 5.2,108.3 ± 4.3,102.4 ± 10.3,103.8 ± 2.6,103.1 ± 0.9,105.8 ± 3.7,97.57 ± 5.45,91.39 ± 2.01,94.66 ± 4.38,73.63 ± 3.94,83.47 ± 14.9,84.3 ± 4.72,83.93 ± 0.59,94.8 ± 15.44,170 ± 5,196.8 ± 74,182.6 ± 19,107.4 ± 8.7,136.7 ± 54.5,120.7 ± 4,121.4 ± 11.5,121 ± 0.5,128.8 ± 11.1,112.2 ± 24.1,116.7 ± 7.1,114.9 ± 3.2,118.2 ± 8.8,95.23 ± 3.92,107.8 ± 16.3,111.3 ± 5.1,,
,B. iner,%CI,0.87,0.51,0.02,0.06,0.00 s*,0.09,0.24,0.29,0.05,0.61,0.06,3.4,1.16,0.15,6.25,0.19,7.74,0.34,3.44,41.38 D**,1.01,0.34 s+,0.00 s+,5.23,24.51 D*,0.78,0.01 s+,0.87,0.06,0.3,0.02 s+,17.43,
,,mean ± SD,119 ± 11.3,116.3 ± 12.2,117.7 ± 1.9,114.3 ± 4.3,107.7 ± 0.8,111.2 ± 4.7,114.5 ± 4.6,108.7 ± 9.1,91.73 ± 5.13,100.7 ± 12,69.33 ± 5.92,84.02 ± 22.24,90.42 ± 26.03,87.51 ± 4.55,100.9 ± 19.1,194.3 ± 7.4,207 ± 67.1,200.2 ± 9,117.1 ± 14.2,149.5 ± 60.2,125.6 ± 17.1,126.8 ± 7,126.2 ± 0.8,137.7 ± 16.5,119.8 ± 26,119.1 ± 12.3,119.4 ± 0.5,123.4 ± 13,112.4 ± 5.8,118.4 ± 7.8,118.9 ± 0.7,,
,M. sati,%CI,0.19,0.08,0.02,0.1,0.12,0.03,0.00 s*,0.02,0.11,0.41,0.02,0.8,0.5,0.05,4.33,4.25,5.84,18.08 D*,0.25 s**,47.85 D**,0.12,0.3,0.43,7.4,2.55,0.04 s+,4.87,0.03 s+,0.01,0.01,1.19,11.98,
,,mean ± SD,74.38 ± 7.88,78.18 ± 7.37,76.18 ± 2.69,78.76 ± 8.22,72.9 ± 12.46,76 ± 4.15,76.09 ± 0.12,105 ± 3.7,84.06 ± 11.79,95.15 ± 14.85,120.2 ± 5.5,108.5 ± 17.7,113.5 ± 25.6,111.2 ± 3.6,93.74 ± 24.85,150.9 ± 52.6,289.5 ± 87.1,216.1 ± 98.2,77.83 ± 5.65,131.8 ± 100.1,81 ± 8.88,97.91 ± 9.96,89.9 ± 11.98,110.6 ± 29.6,102.4 ± 11.9,83.12 ± 4.11,90.68 ± 13.94,81.83 ± 3.51,78.96 ± 3.56,80.53 ± 2.04,85.49 ± 7.18,,
%RVF,Overall,%CI,0.22 s*,0.25,0.07,0.02 s+,0.12,0.07,0.81,0.02 s+,0.01,0.05,0.03,0.05,0.06,0.2,53.66 D**,0.14,0.13,1.21,2.03 s*,11.71 D*,0.02 s+,0.22 s*,0.1,0.91,7.27,0.46,15.55,0.14 s+,0.00 s**,0.4,4.09,3.87,
,,mean ± SD,42.89 ± 2.02,41.25 ± 3.05,42.11 ± 1.16,36.91 ± 0.89,39 ± 2.98,37.89 ± 1.48,40.05 ± 2.99,12.47 ± 0.96,14.17 ± 0.88,13.27 ± 1.21,11.76 ± 1.38,12.46 ± 1.07,15.19 ± 2.1,13.95 ± 1.93,26.94 ± 18.45,26.46 ± 2.27,17.83 ± 3.19,22.4 ± 6.11,38.64 ± 3.92,32.3 ± 11.76,36.81 ± 0.94,34.89 ± 2.02,35.8 ± 1.36,34.07 ± 2.47,30.59 ± 5.04,39.19 ± 3.4,35.81 ± 6.22,38.1 ± 1.9,42.72 ± 0.03,40.2 ± 3.28,38.06 ± 3.1,,
,A. mill,%CI,0.15 s**,0.46,0.16,0.35,0.13,0.43,0.76,0.1 s+,0.16,0.00 s*,0.00 s*,0.09,0.00 s*,0.42,53.12 D**,1.62,0.86,0.42,4.87 s*,4.59,0.03 s*,0.52 s*,0.05,0.21,4.36,0.67,18.56,3.68,0.00 s+,0.78,2.45,13.6,
,,mean ± SD,47.48 ± 1.82,44.78 ± 4.46,46.2 ± 1.91,39.31 ± 3.9,44.78 ± 3.34,41.89 ± 3.87,44.09 ± 3.05,15.46 ± 2.06,15.09 ± 3.76,15.29 ± 0.26,13.29 ± 0.15,14.22 ± 1.42,18.51 ± 0.11,16.56 ± 3.04,30.26 ± 19.47,31.25 ± 8.34,25.85 ± 8.6,28.71 ± 3.83,39.4 ± 6.47,35.23 ± 7.74,37.75 ± 1.07,36.26 ± 3.34,36.96 ± 1.06,36.1 ± 1.23,33.25 ± 4.13,43.27 ± 4.38,39.34 ± 7.25,39.86 ± 10.27,46.72 ± 0.56,42.98 ± 4.87,41.2 ± 2.57,,
,B. iner,%CI,0.63,0.56,0.00 s*,0.18,0.03,0.12,1.12,0.05 s+,0.22,0.21,0.01,0.21,0.03,0.77,44.51 D**,0.92,3,0.09,1.43 s**,13.95 D*,0.19,0.54,0.00 s+,0.76,10.85,0.16 s+,11.25,1.59,0.01,0.6,6,9.55,
,,mean ± SD,49.47 ± 3.64,49.7 ± 4.86,49.58 ± 0.16,45.46 ± 2.76,42.53 ± 1.5,44.08 ± 2.08,46.89 ± 3.89,17.17 ± 1.38,20.93 ± 4.32,18.94 ± 2.67,21.93 ± 1.01,20.53 ± 2.12,25.03 ± 1.67,22.98 ± 3.2,34.88 ± 16.91,32.29 ± 6.21,29.8 ± 15.88,31.12 ± 1.76,49.45 ± 3.48,42.3 ± 13.27,45.86 ± 2.83,45.42 ± 3.36,45.63 ± 0.31,43.98 ± 2.36,39.54 ± 6.44,47.12 ± 2.1,44.14 ± 5.48,47.04 ± 6.67,53 ± 1.03,49.75 ± 4.23,47.01 ± 3.97,,
,M. sati,%CI,3.23,0.35,0.16,1.24,0.11,0.44,0.15,0.06 s+,0.09,0.04,0.07,0.01 s+,0,0.02,53.47 D**,0.47,0.05,1.52,4.45 s*,10.09 D*,0.4,0.34 s*,0.12,1.72,4.81,2.04,11.9,0.17 s*,0.00 s*,0.15,2.32,13.07,
,,mean ± SD,25.68 ± 5.57,23.92 ± 2.61,24.84 ± 1.24,21.76 ± 4.89,25.47 ± 2.1,23.51 ± 2.63,24.19 ± 0.95,4.857 ± 1.095,5.972 ± 1.847,5.382 ± 0.79,4.997 ± 1.67,5.177 ± 0.273,4.601 ± 0.431,4.863 ± 0.409,14.48 ± 13.67,13.57 ± 3.01,6.665 ± 1.381,10.32 ± 4.89,21.07 ± 4.14,16.88 ± 7.78,21.12 ± 2.78,19.61 ± 1.81,20.33 ± 1.07,18.62 ± 2.44,16.6 ± 2.92,21.93 ± 5.11,19.84 ± 3.85,21.33 ± 1.48,23.33 ± 0.2,22.24 ± 1.42,21.07 ± 1.7,,
